source_taxon_unit,source_genus,target_taxon_unit,target_genus,mapping_type
species:cdnom:216150,Parisotoma,NA,NA,no_candidate
species:cdnom:216154,Proisotoma,species:cdnom:216155,Proisotoma,coherent_random
species:cdnom:216271,Lepidocyrtus,species:cdnom:216269,Lepidocyrtus,coherent_random
species:cdnom:655839,Hemisotoma,NA,NA,no_candidate
species:cdnom:216289,Heteromurus,species:cdnom:216290,Heteromurus,coherent_random
species:cdnom:215802,Ceratophysella,species:cdnom:215800,Ceratophysella,coherent_random
species:cdnom:216107,Folsomia,species:cdnom:28893,Folsomia,coherent_random
species:cdnom:216125,Isotomiella,NA,NA,no_candidate
species:cdnom:216329,Tomocerina,NA,NA,no_candidate
species:cdnom:216346,Arrhopalites,NA,NA,no_candidate
species:cdnom:28898,Isotoma,NA,NA,no_candidate
species:cdnom:216206,Pseudosinella,species:cdnom:216236,Pseudosinella,coherent_random
species:cdnom:884697,Proisotomodes,NA,NA,no_candidate
species:cdnom:216302,Entomobrya,NA,NA,no_candidate
species:cdnom:216181,Tetracanthella,NA,NA,no_candidate
species:cdnom:216396,Sminthurinus,species:cdnom:216395,Sminthurinus,coherent_random
species:cdnom:216361,Bourletiella,species:cdnom:837805,Bourletiella,coherent_random
species:cdnom:215873,Brachystomella,NA,NA,no_candidate
species:cdnom:837807,Ceratophysella,species:cdnom:215800,Ceratophysella,coherent_random
species:cdnom:216395,Sminthurinus,species:cdnom:216396,Sminthurinus,coherent_random
species:cdnom:216409,Sminthurus,NA,NA,no_candidate
species:cdnom:216387,Dicyrtomina,NA,NA,no_candidate
species:cdnom:216269,Lepidocyrtus,species:cdnom:216271,Lepidocyrtus,coherent_random
species:cdnom:216341,Megalothorax,NA,NA,no_candidate
species:cdnom:216426,Sphaeridia,NA,NA,no_candidate
species:cdnom:215889,Lathriopyga,NA,NA,no_candidate
species:cdnom:215800,Ceratophysella,species:cdnom:837807,Ceratophysella,coherent_random
species:cdnom:215877,Neanura,NA,NA,no_candidate
species:cdnom:216313,Cyphoderus,NA,NA,no_candidate
species:cdnom:216421,Sminthurides,species:cdnom:884828,Sminthurides,coherent_random
species:cdnom:215824,Hypogastrura,species:cdnom:215819,Hypogastrura,coherent_random
species:cdnom:216290,Heteromurus,species:cdnom:216289,Heteromurus,coherent_random
species:cdnom:215819,Hypogastrura,species:cdnom:215824,Hypogastrura,coherent_random
species:cdnom:254543,Xenylla,species:cdnom:215868,Xenylla,coherent_random
species:cdnom:28893,Folsomia,species:cdnom:216107,Folsomia,coherent_random
species:cdnom:216155,Proisotoma,species:cdnom:216154,Proisotoma,coherent_random
species:cdnom:215856,Triacanthella,NA,NA,no_candidate
species:cdnom:215867,Xenylla,species:cdnom:254543,Xenylla,coherent_random
species:cdnom:255221,Folsomides,NA,NA,no_candidate
species:cdnom:254524,Willemia,NA,NA,no_candidate
species:cdnom:28902,Lepidocyrtus,species:cdnom:216269,Lepidocyrtus,coherent_random
species:cdnom:884828,Sminthurides,species:cdnom:216421,Sminthurides,coherent_random
species:cdnom:215945,Friesea,NA,NA,no_candidate
species:cdnom:884524,Stenaphorura,NA,NA,no_candidate
species:cdnom:837805,Bourletiella,species:cdnom:216361,Bourletiella,coherent_random
species:cdnom:215868,Xenylla,species:cdnom:215867,Xenylla,coherent_random
species:cdnom:216006,Metaphorura,NA,NA,no_candidate
species:cdnom:216130,Isotomodes,NA,NA,no_candidate
species:cdnom:216246,Pseudosinella,species:cdnom:216236,Pseudosinella,coherent_random
species:cdnom:884837,Neelus,NA,NA,no_candidate
species:cdnom:216236,Pseudosinella,species:cdnom:216206,Pseudosinella,coherent_random
